type_qid,type_label,sample_size,total_properties,mandatory_count,common_count,optional_count,top_mandatory,top_common
Q215380,Q215380,1,49,49,0,0,"P358;P373;P434;P31;P18",""
Q7631083,Q7631083,1,124,124,0,0,"P1424;P1036;P190;P31;P373",""
Q10864048,Q10864048,2,204,98,106,0,"P1036;P190;P31;P373;P18","P1424;P501;P1842;P1249;P1791"
Q5119,Q5119,3,188,77,42,69,"P190;P31;P373;P18;P421","P1036;P281;P300;P47;P998"
Q70208,Q70208,1,178,178,0,0,"P2924;P1225;P1667;P1151;P402",""
Q14770218,Q14770218,1,178,178,0,0,"P2924;P1225;P1667;P1151;P402",""
Q537250,Q537250,2,219,113,106,0,"P2924;P1225;P1667;P402;P910","P1151;P3500;P1313;P1435;P571"
Q1187811,Q1187811,5,288,70,56,162,"P2924;P1225;P1667;P910;P214","P402;P242;P5019;P1036;P6"
Q54935504,Q54935504,1,178,178,0,0,"P2924;P1225;P1667;P1151;P402",""
Q56061,Q56061,11,501,32,64,405,"P31;P910;P214;P1566;P227","P2924;P242;P5573;P3219;P2184"
Q1549591,Q1549591,61,753,56,50,647,"P910;P214;P1566;P227;P2046","P1667;P41;P3219;P9957;P12800"
Q257391,Q257391,7,307,62,40,205,"P2924;P910;P214;P1566;P227","P1225;P1151;P1036;P6;P2184"
Q34763,Q34763,7,150,7,17,126,"P18;P625;P646;P31;P17","P131;P1889;P910;P373;P2046"
Q33146843,Q33146843,1,198,198,0,0,"P1036;P190;P17;P131;P163",""
Q5982983,Q5982983,1,38,38,0,0,"P910;P625;P373;P17;P213",""
Q6266,Q6266,4,433,25,301,107,"P910;P625;P373;P17;P31","P213;P2924;P1667;P1151;P1333"
Q7840353,Q7840353,1,38,38,0,0,"P910;P625;P373;P17;P213",""
Q1048835,Q1048835,2,46,7,39,0,"P910;P625;P17;P31;P6366","P373;P213;P3500;P2046;P856"
Q1063239,Q1063239,1,38,38,0,0,"P910;P625;P373;P17;P213",""
Q112099,Q112099,26,600,165,78,357,"P421;P36;P31;P37;P38","P2959;P3000;P3024;P269;P11897"
Q918240,Q918240,1,220,220,0,0,"P421;P36;P31;P37;P38",""
Q747074,Q747074,10,293,79,47,167,"P18;P242;P31;P1376;P131","P1936;P1667;P8406;P9037;P11012"
Q581830,Q581830,1,205,205,0,0,"P18;P242;P31;P1376;P361",""
Q2264924,Q2264924,12,589,69,76,444,"P18;P242;P31;P1376;P856","P473;P2044;P1791;P1448;P2581"
Q4115680,Q4115680,3,265,113,67,85,"P18;P242;P31;P1376;P131","P361;P349;P1296;P2581;P4212"
Q64953083,Q64953083,1,205,205,0,0,"P18;P242;P31;P1376;P361",""
Q15070223,Q15070223,3,18,17,0,1,"P131;P31;P630;P18;P625",""
Q169358,Q169358,6,114,13,34,67,"P31;P373;P17;P625;P131","P793;P3109;P3513;P3018;P1417"
Q1601329,Q1601329,1,3,3,0,0,"P31;P361;P2671",""
Q484652,Q484652,6,219,4,53,162,"P31;P856;P17;P159","P214;P244;P910;P646;P269"
Q245065,Q245065,3,206,16,62,128,"P214;P244;P31;P910;P646","P373;P227;P1448;P37;P1365"
Q2979,Q2979,1,3,3,0,0,"P31;P2671;P1269",""
Q855697,Q855697,2,92,27,65,0,"P1082;P910;P2046;P2573;P2959","P421;P131;P214;P244;P17"
Q1210008,Q1210008,2,25,8,17,0,"P17;P31;P646;P214;P571","P18;P6683;P1813;P3057;P37"
Q202686,Q202686,8,544,190,88,266,"P94;P35;P297;P298;P299","P898;P2573;P47;P7157;P3365"
Q11815167,Q11815167,8,396,181,51,164,"P94;P35;P297;P298;P299","P150;P2573;P1365;P8519;P409"
Q219577,Q219577,1,136,136,0,0,"P946;P414;P452;P373;P159",""
Q15911314,Q15911314,2,72,13,59,0,"P31;P856;P646;P214;P571","P2650;P244;P4264;P2397;P2088"
Q33104279,Q33104279,1,42,42,0,0,"P508;P910;P646;P1051;P1014",""
Q189977,Q189977,1,9,9,0,0,"P31;P486;P6366;P672;P646",""
Q14292916,Q14292916,1,79,79,0,0,"P190;P17;P373;P41;P94",""
Q902814,Q902814,7,434,67,53,314,"P190;P17;P373;P94;P421","P131;P2044;P37;P2716;P30"
Q162633,Q162633,1,27,27,0,0,"P31;P17;P646;P214;P571",""
Q2085381,Q2085381,2,154,21,133,0,"P31;P646;P159;P17;P1454","P1059;P1239;P749;P127;P1320"
Q79007,Q79007,3,26,5,3,18,"P31;P17;P131;P625;P18","P373;P1766;P2671"
Q41614,Q41614,3,413,200,76,137,"P610;P1036;P35;P36;P38","P998;P17;P898;P1198;P213"
