id,code,prefix,start,end,label
GR72-79,GR72-79,GR,72.0,79.0,"Folk literature (General) Including folktales, legends"
GR81,GR81,GR,81.0,81.0,"Folk beliefs, superstitions, etc. (General)"
GR99.6-390,GR99.6-390,GR,99.6,390.0,By region or country
GR420-950,GR420-950,GR,420.0,950.0,By subject
GR420-426,GR420-426,GR,420.0,426.0,"Costume, jewelry"
GR430-488,GR430-488,GR,430.0,488.0,Folklore relating to private life
GR500-615,GR500-615,GR,500.0,615.0,"Supernatural beings, demonology, fairies, ghosts, charms, etc."
GR620-640,GR620-640,GR,620.0,640.0,"Cosmic phenomena, weather lore"
GR650-690,GR650-690,GR,650.0,690.0,Geographical topics
GR700-860,GR700-860,GR,700.0,860.0,"Animals, plants, and minerals"
GR865-874,GR865-874,GR,865.0,874.0,"Transportation, travel, commerce, etc."
GR880,GR880,GR,880.0,880.0,Medicine.  Folk medicine
GR890-915,GR890-915,GR,890.0,915.0,Occupations
GR931-935,GR931-935,GR,931.0,935.0,Signs and symbols
GR940-941,GR940-941,GR,940.0,941.0,Mythical places
GT1-7070,GT1-7070,GT,1.0,7070.0,Manners and customs (General)
GT165-476,GT165-476,GT,165.0,476.0,Houses.  Dwellings
GT485,GT485,GT,485.0,485.0,Churches and church going
GT495-499,GT495-499,GT,495.0,499.0,Human body and its parts.  Personal beauty
GT500-2370,GT500-2370,GT,500.0,2370.0,Costume.  Dress.  Fashion
GT2400-3390.5,GT2400-3390.5,GT,2400.0,3390.5,Customs relative to private life
GT3400-5090,GT3400-5090,GT,3400.0,5090.0,"Customs relative to public and social life Including town life, court life, festivals, holidays, ceremonies of royalty, etc."
GT5220-5286,GT5220-5286,GT,5220.0,5286.0,Customs relative to transportation and travel
GT5320-6737,GT5320-6737,GT,5320.0,6737.0,Customs relative to special classes
GT5320-5690,GT5320-5690,GT,5320.0,5690.0,"By birth, rank, etc."
GT5750-6390,GT5750-6390,GT,5750.0,6390.0,By occupation
GV1-1860,GV1-1860,GV,1.0,1860.0,Recreation.  Leisure
GV181.35-181.6,GV181.35-181.6,GV,181.35,181.6,Recreation leadership.  Administration of recreation services
