pleiades_id,place_label,place_type,min_date,max_date,geonames_id,geonames_label,geonames_feature_code,wikidata_qid,wikidata_label,wikidata_latitude,wikidata_longitude,tgn_id,tgn_label,tgn_latitude,tgn_longitude,has_wikidata_match,has_tgn_match,has_temporal_signal,is_fully_triangulated,is_full_chain_wikidata_tgn
108875,Ceuclum,"fort-2, vicus",-30,2100,2757873,Gemeente Cuijk,ADM2,Q2855712,Cuijk en Sint Agatha,51.71666667,5.88333333,,,,,true,false,true,true,false
108875,Ceuclum,"fort-2, vicus",-30,2100,2757874,Cuijk,PPL,Q13635419,Cuijk,51.72694,5.87944,,,,,true,false,true,true,false
108875,Ceuclum,"fort-2, vicus",-30,2100,2757874,Cuijk,PPL,Q9827,Cuijk,51.7269,5.8794,,,,,true,false,true,true,false
108879,Châteaubleau,"settlement, sanctuary",-30,2100,3026309,,PPL,Q419596,Châteaubleau,48.587777777778,3.1075,,,,,true,false,true,true,false
108879,Châteaubleau,"settlement, sanctuary",-30,2100,6451193,,ADM4,,,,,,,,,false,false,true,false,false
108880,Château-Porcien,settlement,-330,2100,3026216,,PPL,,,,,,,,,false,false,true,false,false
108880,Château-Porcien,settlement,-330,2100,6425892,,ADM4,Q967390,Château-Porcien,49.529444444444,4.2458333333333,,,,,true,false,true,true,false
108882,Le Châtelet de Gourzon,settlement,-330,2100,3015493,,PPL,,,,,,,,,false,false,true,false,false
108888,Chemery,"production, settlement",-30,2100,3025606,,PPL,Q16304992,Chémery,48.9997,6.58276,,,,,true,false,true,true,false
108894,Col. Augusta Treverorum,settlement,-30,2100,2821164,,PPLA4,,,,,,,,,false,false,true,false,false
108894,Col. Augusta Treverorum,settlement,-30,2100,3247911,,ADM3,Q3138,Trier,49.75565,6.63935,,,,,true,false,true,true,false
108894,Col. Augusta Treverorum,settlement,-30,2100,6554291,,ADM4,,,,,,,,,false,false,true,false,false
108896,Col. Ulpia Traiana/Tricensimae,"settlement, archaeological-site",-30,2100,2805385,,PPL,,,,,,,,,false,false,true,false,false
108896,Col. Ulpia Traiana/Tricensimae,"settlement, archaeological-site",-30,2100,6557522,,ADM4,Q162890,Xanten,51.662222222222,6.4538888888889,,,,,true,false,true,true,false
108898,Condacum?,settlement,-30,2100,2794117,,PPL,Q31824055,Kontich,51.1336,4.4444,,,,,true,false,true,true,false
108898,Condacum?,settlement,-30,2100,2794118,,ADM4,Q725074,Kontich,51.134444444444,4.4455555555556,,,,,true,false,true,true,false
108903,Confluentes,settlement,-30,2100,2886946,,PPLA3,Q3104,Koblenz,50.359722222222,7.5977777777778,,,,,true,false,true,true,false
108903,Confluentes,settlement,-30,2100,3247459,,ADM3,Q32067931,Koblenz,50.3567,7.59317,,,,,true,false,true,true,false
108903,Confluentes,settlement,-30,2100,6553290,,ADM4,Q32067931,Koblenz,50.3567,7.59317,,,,,true,false,true,true,false
108908,Coriovallum,settlement,-30,2100,2754651,Gemeente Heerlen,ADM2,Q9799,Heerlen,50.883333333333,5.9833333333333,,,,,true,false,true,true,false
108908,Coriovallum,settlement,-30,2100,2754652,Heerlen,PPL,Q33444227,Heerlen,50.88365,5.98154,,,,,true,false,true,true,false
108911,Cortoriacum,settlement,-30,2100,2794054,,ADM3,Q91388,Arrondissement of Kortrijk,50.85,3.3,,,,,true,false,true,true,false
108911,Cortoriacum,settlement,-30,2100,2794055,,PPL,Q21767298,Kortrijk,50.828508333333,3.2643055555556,,,,,true,false,true,true,false
108911,Cortoriacum,settlement,-30,2100,2794056,,ADM4,Q12995,Kortrijk,50.8275,3.2658333333333,,,,,true,false,true,true,false
108921,Decem Pagi,settlement,-30,2100,2973353,,PPL,,,,,,,,,false,false,true,false,false
108921,Decem Pagi,settlement,-30,2100,6437886,,ADM4,Q21823,Tarquimpol,48.784722222222,6.7583333333333,,,,,true,false,true,true,false
108927,Divodurum/Mettis,"settlement, amphitheatre",-30,2100,2994149,,ADM3,Q701697,arrondissement of Metz-Ville,49.10811,6.19553,,,,,true,false,true,true,false
108927,Divodurum/Mettis,"settlement, amphitheatre",-30,2100,2994160,,PPLA2,Q22690,Metz,49.119722222222,6.1769444444444,,,,,true,false,true,true,false
108927,Divodurum/Mettis,"settlement, amphitheatre",-30,2100,6454365,,ADM4,,,,,,,,,false,false,true,false,false
