pleiades_id,pleiades_url,place_label,place_type,min_date,max_date,geonames_id,geonames_url,geonames_label,match_type,distance_km,pleiades_location_precision,pleiades_feature_types,geonames_feature_code,geonames_feature_code_label
599950,http://pleiades.stoa.org/places/599950,Syme,settlement,-750,300,253858,http://sws.geonames.org/253858/,Symi,distance,0.723,precise,settlement,PPLA3,seat of a third-order administrative division
599951,http://pleiades.stoa.org/places/599951,Syme (island),island,-30,2100,253857,http://sws.geonames.org/253857/,Nisí Sými,distance,3.677,precise,island,ISL,island
599951,http://pleiades.stoa.org/places/599951,Syme (island),island,-30,2100,253858,http://sws.geonames.org/253858/,Symi,distance,5.824,precise,island,PPLA3,seat of a third-order administrative division
599956,http://pleiades.stoa.org/places/599956,Taramptos (island),island,1700,2100,302051,http://sws.geonames.org/302051/,,distance,3.094,precise,island,ISL,island
599960,http://pleiades.stoa.org/places/599960,Telos (settlement),settlement,-550,-30,11395682,http://sws.geonames.org/11395682/,Telos,distance,0.175,precise,settlement,PPLQ,abandoned populated place
599960,http://pleiades.stoa.org/places/599960,Telos (settlement),settlement,-550,-30,252863,http://sws.geonames.org/252863/,Tilos,distance,4.305,precise,settlement,ISL,island
599961,http://pleiades.stoa.org/places/599961,Telos (island),island,1700,2100,11395682,http://sws.geonames.org/11395682/,Telos,distance,5.36,precise,island,PPLQ,abandoned populated place
599961,http://pleiades.stoa.org/places/599961,Telos (island),island,1700,2100,252863,http://sws.geonames.org/252863/,Tilos,distance,1.982,precise,island,ISL,island
599971,http://pleiades.stoa.org/places/599971,Thera,"settlement, archaeological-site",-2000,640,252919,http://sws.geonames.org/252919/,Santorini,distance,5.07,precise,settlement,ISL,island
599971,http://pleiades.stoa.org/places/599971,Thera,"settlement, archaeological-site",-2000,640,252920,http://sws.geonames.org/252920/,Fira,distance,7.669,precise,settlement,PPLA3,seat of a third-order administrative division
599971,http://pleiades.stoa.org/places/599971,Thera,"settlement, archaeological-site",-2000,640,8133832,http://sws.geonames.org/8133832/,,distance,5.08,precise,settlement,ADM3,third-order administrative division
599973,http://pleiades.stoa.org/places/599973,Thera (island),island,1700,2100,252919,http://sws.geonames.org/252919/,Santorini,distance,2.429,precise,island,ISL,island
599973,http://pleiades.stoa.org/places/599973,Thera (island),island,1700,2100,252920,http://sws.geonames.org/252920/,Fira,distance,0.537,precise,island,PPLA3,seat of a third-order administrative division
599973,http://pleiades.stoa.org/places/599973,Thera (island),island,1700,2100,8133832,http://sws.geonames.org/8133832/,,distance,2.427,precise,island,ADM3,third-order administrative division
599974,http://pleiades.stoa.org/places/599974,Therasia (island),island,-30,2100,252916,http://sws.geonames.org/252916/,Therasia,distance,1.869,precise,island,PPL,populated place
599975,http://pleiades.stoa.org/places/599975,Therasia?,settlement,-750,300,252916,http://sws.geonames.org/252916/,Therasia,distance,1.99,precise,settlement,PPL,populated place
599987,http://pleiades.stoa.org/places/599987,Tralles/Dia/Seleuceia ad Maeandrum/Kaisareia,settlement,-1750,2099,322830,http://sws.geonames.org/322830/,,distance,1.293,precise,"settlement, theatre",PPLA,seat of a first-order administrative division
60072,http://pleiades.stoa.org/places/60072,Surae,label,-30,300,1402007,http://sws.geonames.org/1402007/,Suri,bbox,0.0,rough,unknown,MT,mountain
60083,http://pleiades.stoa.org/places/60083,Taxila,settlement,-330,640,1163715,http://sws.geonames.org/1163715/,Taxila,distance,2.585,precise,settlement,ANS,archaeological/prehistoric site
60083,http://pleiades.stoa.org/places/60083,Taxila,settlement,-330,640,11785970,http://sws.geonames.org/11785970/,Taxila,distance,1.638,precise,settlement,PPL,populated place
60099,http://pleiades.stoa.org/places/60099,Vidiśā,settlement,-330,300,1253200,http://sws.geonames.org/1253200/,Vidisha,distance,0.486,precise,settlement,PPL,populated place
601235773,http://pleiades.stoa.org/places/601235773,Tas-Silġ,"sanctuary, findspot, settlement, archaeological-site",-10000,2100,2565360,http://sws.geonames.org/2565360/,Tas-Silġ,distance,0.769,precise,"sanctuary, settlement",ANS,archaeological/prehistoric site
