qid,label,subclass_of,subclass_of_label,part_of,part_of_label,has_parts,has_parts_label,fast_id,gnd_id,lcsh_id,ddc,aat_id,babelnet_id,kbpedia_id,world_history_id,lcc,flag_reason
Q1407263,forensic psychiatry,Q7867|Q454812,psychiatry|medical jurisprudence,Q7867|Q454812,psychiatry|medical jurisprudence,,,,4020335-9,sh85050558,614.15,,,,,,
Q495304,forensic science,Q336,science,,,Q456443|Q454812,forensic technique|medical jurisprudence,932011,1199322490,sh90001487,363.25|614.1,300263373,,ForensicScience,,,
Q456443,forensic technique,Q2695280,technique,Q495304|Q43504,forensic science|criminalistics,,,,4134284-7,,,,,,,,
Q105427882,forest canopy ecology,Q2249329|Q7150,forest ecology|ecology,,,,,,,sh94007515,,,,,,QH541.5.F6,
Q15629466,forest conservation,Q20113959,nature conservation,,,,,932069,,sh85050567,,,,,,,
Q2249329,forest ecology,Q7150|Q19924411,ecology|forestry science,,,,,932104,4017951-5,sh85050575,577.3,,,ForestEcology,,,
Q105552831,forest hydrology,Q42250|Q19924411,hydrology|forestry science,,,,,1715752|965190,4393598-9,sh85063461,,,,,,GB842,
Q372561,forest management,Q720362|Q3743137|Q29017603,silviculture|natural resource management|control,Q38112,forestry,,,,,,,300379283,,ForestManagement,,,
Q3333928,forest meteorology,,,,,,,,,,,,,,,,
Q38112,forestry,Q1801887|Q11023,agriculture and forestry|engineering,Q55640|Q1801887,primary sector of the economy|agriculture and forestry,Q720362,silviculture,,4017966-7,sh85050707,634.9,300054511,00035877n,Forestry,,SD1-SD669.5,
Q16021386,forestry engineer,Q81096|Q1895303,engineer|forester,,,,,,1119377994,,,,,,,,
Q110297702,forestry fire management,Q19924411,forestry science,,,,,,,,,,,,,,
Q19924411,forestry science,Q173113|Q28797|Q110231626|Q3606845|Q16021386|Q372561,"agronomy|applied science|agricultural, veterinary and food sciences|agricultural science|forestry engineer|forest management",,,,,,4155069-9,sh88003739,,,,,,,
Q192161,formal language,Q649732,formal system,,,,,,4017848-1,sh85050802,511.3,,00213650n,FormalLanguage,,,natural_language
Q3984091,formal language theory,,,Q1166618|Q351625|Q2878974,mathematical logic|theoretical linguistics|theoretical computer science,,,,,,,,,,,,
Q1003009,formal logic,Q8078,logic,,,,,,,,,,,,,,
Q816264,formal science,Q475023,exact science,,,Q395|Q8078|Q12483|Q44455|Q269699|Q21198|Q336,mathematics|logic|statistics|game theory|systems theory|computer science|science,,,,,,03058326n,,,,
Q112815132,format migration,,,,,,,,,,,,,,,,
Q15699657,formulary,Q1335296,form,,,,,,4155006-7,,,300253016,,,,,
Q324326,fortification,Q192386,military science,Q192386,military science,,,,,,,,,,,,
Q11888449,foundation engineering,,,Q2674423|Q77590,construction engineering|civil engineering,,,,,,,,,,,,
Q120969775,foundational ontology,,,,,,,,,,,,,,,,
Q957852,fracture mechanics,Q1710723|Q240553,materials engineering|mechanics of materials,,,,,,,sh85051154,,300389876,,FractureMechanics,,,
Q30708491,fragmentology,,,Q1338164,codicology,,,,,,,,,,,,
Q3082422,francology,Q1143546|Q1066186|Q8162|Q34749|Q8134,cultural studies|study of history|linguistics|social science|economics,,,,,,,,,,,,,,
Q3306816,freshwater biology,Q5728861|Q1130698|Q165838,aquatic biology|hydrobiology|limnology,,,,,,,sh85051943,,,,,,,
Q20417087,freshwater ecology,Q104196941,aquatic ecology,,,,,935020,,sh85051944,,,,FreshwaterEcology,,QH541.5.F7,
Q2860615,freshwater underwater archaeology,Q765822,underwater archaeology,,,,,,,,,,,,,,
Q64811474,front office operations,,,,,,,,,,,,,,,,
Q64853847,function materials,,,,,,,,,,,,,,,,
Q190549,functional analysis,Q1936384|Q837863,branch of mathematics|pure mathematics,Q7754,mathematical analysis,Q1892554,operator algebra,936061,4018916-8,sh85052312,515.7,300380275,,,,,
Q20612038,functional biochemistry,Q7094,biochemistry,,,,,,,,,,,,,,
Q5508816,functional ecology,Q7150,ecology,,,,,,,,,,,,,,
Q1068690,functional genomics,Q222046,genomics,,,,,,,,,,,,,,
Q5508836,functional management,Q2920921,management,,,,,,,,,,,,,,
Q113114739,functional materials research,Q228736,materials science,,,,,,,,,,,,,,
Q130453901,functional morphology,Q183252,morphology,,,,,,,,,,,,,,
Q3839507,functional programming language,Q9143,programming language,,,,,,,,,,,,,,natural_language
Q1004343,fundamental theology,Q1367940,Catholic theology,Q1367940,Catholic theology,,,,4018877-2,sh85006028,230.01,,,,,,
Q107388727,funerary archaeology,Q23498,archaeology,,,,,,,,,,,,,,
Q104825374,fungal ecology,Q7150,ecology,,,,,936308,,sh85052443,,,,,,QK604.2.E26,
Q111679581,fungal physiology,Q7175|Q521,mycology|physiology,,,,,936333,,sh85052453,,,,,,QK601,
Q4455138,fuzzy measure theory,,,,,,,,,,,,,,,,
Q104783369,fynbos ecology,Q7150|Q104783371,ecology|shrubland ecology,,,,,936824,,sh91006264,,,,,,,
Q105590653,gain of function research,Q69953209,genetic research,,,,,,,,,,,,,,
Q58908,galactic astronomy,Q333,astronomy,Q333,astronomy,,,,,,,,,,,,
Q1995140,galaxy formation and evolution,Q37547,astrophysics,,,,,,,sh94008658|sh85052765,,,,,,,
Q675281,game studies,Q1143546,cultural studies,Q113127945,"graphics, augmented reality and games",,,,,,,,,,,,
Q44455,game theory,Q177571,decision theory,,,,,937501,4056243-8,sh85052941,519.3,,00037201n,GameTheory,,QA269|HB144|QA269-QA272,
Q95326007,gas flow,Q12142910,fluid flow,,,,,,4156052-8,,533.21,,,,,,
Q1144718,gas kinetics,Q95326007|Q8424|Q216320,gas flow|aerodynamics|fluid dynamics,,,,,,4019339-1,sh85053291,533.2,,,,,,
Q120569,gastroenterology,Q843601,health sciences,Q11180,internal medicine,,,,4121313-0,sh85053479,616.33,,00037467n,Gastroenterology,,,
Q171141,gastronomy,Q1495452|Q2095,hospitality industry|food,,,,,938901,4071601-6,sh85053492,338.4764795,300265203,00037474n,,,,
Q123751128,gathering,Q123819225,digital capturing,,,,,,,,,,,,,,
Q243330,gemology,Q83353,mineralogy,,,,,,4151047-1,sh2011001743,,,,,,,
Q5530957,gender and crime,Q161733,criminology,,,,,,,,,,,,,,
Q637003,gender archaeology,Q23498|Q1662673,archaeology|gender studies,Q1662673|Q23498,gender studies|archaeology,,,,,,,,,,,,
Q135682154,gender literacy,Q8236,literacy,,,,,,,,,,,,,,
Q11830699,gender psychology,Q9418,psychology,,,,,,,,,,,,,,
Q1662673,gender studies,Q1143546|Q21201,cultural studies|sociology,Q1143546,cultural studies,Q637003|Q35069|Q12908504|Q98929208|Q17014367,gender archaeology|women's studies|men's studies|queer studies|transgender studies,,4482930-9,,,,03410936n,GenderStudies,,,
Q118152682,gender theory,Q17737,theory,,,Q658022,queer theory,,,,,,,,,,
Q64869236,"gender, culture and society",,,,,,,,,,,,,,,,
Q113126644,"gender, policy and administration",Q113125740,policy and administration studies,,,,,,,,,,,,,,
Q11860338,gene research,,,,,,,,,,,,,,,,
Q47307,genealogy,Q80083,humanities,Q770723,auxiliary science of history,,,939652,4020097-8,sh85053742,929.1|920,300054387,00033524n,Genealogy,,CS1-CS3090,
Q64869170,general and adult education,,,,,,,,,,,,,,,,
Q12041895,general biology,Q420,biology,,,,,,,,,,,,,,
Q10660901,general economics,Q8134,economics,,,,,,4078943-3,,,,,,,,
Q16682237,general education,Q8434,education,,,,,,,,,,,,,,
Q64814350,general health care practice,,,,,,,,,,,,,,,,
Q14357850,general linguistics,Q8162,linguistics,,,,,,,,,,,,,,
Q64814351,general nursing practice,,,,,,,,,,,,,,,,
Q1361345,general psychology,Q9418,psychology,,,,,,4141943-1,,,,,,,,
Q11452,general relativity,,,Q43514,theory of relativity,Q273711,Einstein field equations,,4112491-1,sh85053765,530.11,,,GeneralRelativity,,QC173.6,
Q1501661,general studies,,,,,,,,,,,,,,,,
Q1124169,genetic counseling,Q4390239,counseling,,,,,,,sh85053853,,,,,,RB155.7,
Q48997455,genetic ecology,Q7150,ecology,,,,,,,,,,,,,,
Q5532897,genetic epidemiology,Q133805|Q7162,epidemiology|genetics,,,,,,,,,,,GeneticEpidemiology,,,
Q5205756,genetic history of Egypt,,,Q4785363,genetic history of the Middle East,,,,,,,,,,,,
Q4785363,genetic history of the Middle East,Q636489|Q112073441,archeogenetics|human population genetics,Q51615|Q5256114,history of the Middle East|demographics of the Middle East,Q8045695|Q5205756|Q3656734|Q16000100|Q3592613,Y-DNA haplogroups in populations of the Near East|genetic history of Egypt|genetic studies of Turkic peoples|genetic studies on Arabs|genetic studies of Jews,,,,,,,,,,
Q69953209,genetic research,Q30032115,biological research,Q7162,genetics,,,,,,,,,,,,
Q3592613,genetic studies of Jews,Q112073441,human population genetics,Q108823107,Jewish communities studies,Q6806534,medical genetics of Jews,,,,,,,,,,
Q3656734,genetic studies of Turkic peoples,,,Q4785363,genetic history of the Middle East,,,,,,,,,,,,
Q16000100,genetic studies on Arabs,,,Q4785363,genetic history of the Middle East,,,,,,,,,,,,
Q1503477,genetically modified crops,Q18340432|Q235352,genetically modified plant|crop,,,,,,,sh90003137,,,01603936n,,,,
Q18340432,genetically modified plant,Q182726|Q756,GMO|plant,,,,,,,,,,,,,,
Q7162,genetics,Q420,biology,Q420,biology,,,,4071711-2,sh85053877,576.5,300138822,00037702n,Genetics,,,
Q64689297,genetics and cell biology,,,,,,,,,,,,,,,,
Q2515819,genocide studies,,,,,,,,,,,,,,,,
Q3508604,genology,,,Q459381|Q5533546,literary theory|genre studies,,,,,,,,,,,,
Q96379173,genome informatics,Q222046|Q21198|Q128570,genomics|computer science|bioinformatics,,,,,,,,,,,,,,
Q113042868,genome structure and regulation,Q7162,genetics,,,,,,,,,,,,,,
Q222046,genomics,Q7162|Q177005|Q158666,genetics|computational biology|omics,Q112939581,Genomics and transcriptomics,,,,,sh2002000809,,,,Genomics,,,
Q5533546,genre studies,,,Q301751|Q86619995,critical sociology|genre theory,,,,,,,,,,,,
Q86619995,genre theory,,,Q50641|Q208217,history of art|literary studies,,,,,,,,,,,,
Q65256497,geo-engineering department,,,,,,,,,,,,,,,,
Q1456948,geobotany,Q441,botany,Q441|Q52106|Q1387972,botany|biogeography|plant ecology,,,,4132141-8,,581.7,,,,,,
Q161764,geochemistry,Q2329|Q8008,chemistry|Earth science,,,,,,4020198-3,sh85053960,551.9,300054543,00040151n,Geochemistry,,,
Q213891,geochronology,Q130788,chronology,Q1069,geology,,,,4020199-5,,,,00025352n,Geochronology,,,
Q5533896,geocomputation,Q1071|Q12525525,geography|computation,,,,,,,,,,,,,,
Q5533986,geodesign,,,Q1734563|Q69883,map layout|urban planning,Q1093900,CityGML,,,,,,,,,,
Q131089,geodesy,Q8008,Earth science,Q8008,Earth science,,,,4020202-1,sh85053969,526.1,300054544,00040155n,Geodesy,,,
Q13419632,geodetic engineering,Q1694247,applied geodesy,,,,,,,,,,,,,,
Q1265151,geoecology,Q7150,ecology,,,,,,4137703-5,,,,,,,,
Q2469844,geoeconomics,Q8134|Q159385,economics|geopolitics,,,,,,,,,,,,,,
Q921851,geoengineering,Q11023,engineering,,,Q56298528|Q17165387|Q4787572,carbon dioxide removal|solar geoengineering|Arctic geoengineering,,7714853-8,,,,,,,,
Q3537694,geographic information science,Q16387|Q124468378,information science|geoinformation science,,,,,,,,,,,,,,
