property_id,property_label,property_description,type_qids,type_labels,primary_facet,secondary_facets,all_facets,is_historical,is_authority_control,confidence,type_count
P51,audio,"relevant sound. If available, use a more specific property. Samples: ""spoken text audio"" (P989), ""pronunciation audio"" (P443)","Q18610173,Q121928698",Wikidata property to link to Commons | Q121928698,UNKNOWN,,,False,False,0.5,2
P53,family,"family, including dynasty and nobility houses. Not family name (use P734 for family name).","Q18608871,Q26935994",Wikidata property for items about people | Wikidata property encoding a vCard value,DEMOGRAPHIC,,DEMOGRAPHIC,False,False,0.8,2
P54,member of sports team,sports teams or clubs that the subject represents or represented,"Q18608871,Q63871189,Q26935994,Q15720608",Wikidata property for items about people | Wikidata property related to sports teams/clubs | Wikidata property encoding a vCard value | Q15720608,DEMOGRAPHIC,,DEMOGRAPHIC,False,False,0.8,4
P57,director,"director(s) of film, TV-series, stageplay, video game or similar",Q134479145,Q134479145,UNKNOWN,,,False,False,0.5,1
P58,screenwriter,person(s) who wrote the script for subject item,"Q134479145,Q22965162",Q134479145 | Wikidata property for items about films,UNKNOWN,,,False,False,0.5,2
P59,constellation,"the area of the celestial sphere of which the subject is a part (from a scientific standpoint, not an astrological one)",Q21451142,Wikidata property for items about astronomical objects,SCIENTIFIC,,SCIENTIFIC,False,False,0.8,1
P61,discoverer or inventor,"subject who discovered, first described, invented, or developed this discovery or invention or scientific hypothesis or theory","Q134479137,Q52425722,Q52511956",Q134479137 | Wikidata property related to natural science | Wikidata property related to geography,GEOGRAPHIC,SCIENTIFIC,"GEOGRAPHIC,SCIENTIFIC",False,False,0.8,3
P65,site of astronomical discovery,"the place where an astronomical object was discovered (observatory, satellite)","Q18635217,Q21451142",Wikidata property for specifying the location of an event | Wikidata property for items about astronomical objects,GEOGRAPHIC,SCIENTIFIC,"GEOGRAPHIC,SCIENTIFIC",False,False,0.8,2
P66,ancestral home,place of origin for ancestors of subject,"Q18608871,Q18615777",Wikidata property for items about people | Wikidata property to indicate a location,GEOGRAPHIC,DEMOGRAPHIC,"GEOGRAPHIC,DEMOGRAPHIC",False,False,0.8,2
P69,educated at,educational institution attended by subject,"Q18608871,Q22984450",Wikidata property for items about people | Wikidata property related to education,DEMOGRAPHIC,,DEMOGRAPHIC,False,False,0.8,2
P78,top-level Internet domain,Internet domain name system top-level code,Q19829914,Wikidata property related to places,GEOGRAPHIC,,GEOGRAPHIC,False,False,0.8,1
P81,connecting line,railway line(s) subject is directly connected to,"Q15720608,Q23069616,Q23310071",Q15720608 | Wikidata property related to road transport | Wikidata property related to rail transport,UNKNOWN,,,False,False,0.5,3
P84,architect,person or architectural firm responsible for designing this building,"Q134479137,Q43831109",Q134479137 | Wikidata property related to architecture,ARTISTIC,,ARTISTIC,False,False,0.8,2
P85,anthem,subject's official anthem,"Q18608993,Q22965078",Wikidata property for items about organizations | Wikidata property for items about musical works,UNKNOWN,,,False,False,0.5,2
P86,composer,"person(s) who wrote the music [for lyricist, use ""lyrics by"" (P676)]",Q22965078,Wikidata property for items about musical works,UNKNOWN,,,False,False,0.5,1
P87,librettist,"author of the libretto (words) of an opera, operetta, oratorio or cantata, or of the book of a musical",Q22965078,Wikidata property for items about musical works,UNKNOWN,,,False,False,0.5,1
