seed_qid,seed_label,delta_qid,delta_label,backlink_hits
Q3952,Late Republic (periodization),Q124048857,Bleichstraße 11,1
Q3952,Late Republic (periodization),Q124048858,Q124048858,1
Q3952,Late Republic (periodization),Q124048859,Bleichstraße 15,1
Q3952,Late Republic (periodization),Q124048860,Braugäßchen 2,1
Q3952,Late Republic (periodization),Q124048862,Herrenstraße 4,1
Q3952,Late Republic (periodization),Q124048863,Q124048863,1
Q3952,Late Republic (periodization),Q124048864,Herrenstraße 16,1
Q3952,Late Republic (periodization),Q124048866,Q124048866,1
Q3952,Late Republic (periodization),Q124048867,Annenstraße 35,1
Q3952,Late Republic (periodization),Q124048868,Q124048868,1
Q3952,Late Republic (periodization),Q124048869,Q124048869,1
Q3952,Late Republic (periodization),Q124048870,Q124048870,1
Q3952,Late Republic (periodization),Q124048871,Klostermarkt 3,1
Q3952,Late Republic (periodization),Q124048872,Klostermarkt 5,1
Q3952,Late Republic (periodization),Q124048873,Q124048873,1
Q3952,Late Republic (periodization),Q124048874,Klostermarkt 8,1
Q3952,Late Republic (periodization),Q124048875,Klostermarkt 9,1
Q3952,Late Republic (periodization),Q124048876,Q124048876,1
Q3952,Late Republic (periodization),Q124048877,Q124048877,1
Q3952,Late Republic (periodization),Q124048878,Q124048878,1
Q3952,Late Republic (periodization),Q124048879,Bahnhofstraße 4,1
Q3952,Late Republic (periodization),Q124048880,Bahnhofstraße 8,1
Q3952,Late Republic (periodization),Q124048881,Bahnhofstraße 12,1
Q3952,Late Republic (periodization),Q124048882,Memorial plaque at the Vogtland Library,1
Q3952,Late Republic (periodization),Q124048883,Nobelstraße 1,1
Q3952,Late Republic (periodization),Q124048884,Bahnhofstraße 14,1
Q3952,Late Republic (periodization),Q124048885,Nobelstraße 3,1
Q3952,Late Republic (periodization),Q124048886,Nobelstraße 5,1
Q3952,Late Republic (periodization),Q124048887,Nobelstraße 6,1
Q3952,Late Republic (periodization),Q124048889,Nobelstraße 8,1
Q3952,Late Republic (periodization),Q124048890,Bahnhofstraße 16,1
Q3952,Late Republic (periodization),Q124048891,Nobelstraße 11,1
Q3952,Late Republic (periodization),Q124048892,Nobelstraße 13,1
Q3952,Late Republic (periodization),Q124048893,Nobelstraße 15,1
Q3952,Late Republic (periodization),Q124048894,Nobelstraße 17,1
Q3952,Late Republic (periodization),Q124048895,Nobelstraße 18,1
Q3952,Late Republic (periodization),Q124048897,Nobelstraße 19,1
Q3952,Late Republic (periodization),Q124048898,Nobelstraße 21,1
Q3952,Late Republic (periodization),Q124048900,Nobelstraße 23,1
Q3952,Late Republic (periodization),Q124048901,Bahnhofstraße 18,1
Q3952,Late Republic (periodization),Q124048902,Annenstraße 14,1
Q3952,Late Republic (periodization),Q124048903,Oberer Graben 20,1
Q3952,Late Republic (periodization),Q124048904,Oberer Steinweg 2,1
Q3952,Late Republic (periodization),Q124048905,Oberer Steinweg 4,1
Q3952,Late Republic (periodization),Q124048906,Oberer Steinweg 8,1
Q3952,Late Republic (periodization),Q124048907,terraced former frame hill between town wall and mill race,1
Q3952,Late Republic (periodization),Q124048908,Rathausstraße 8,1
Q3952,Late Republic (periodization),Q124048909,Schulberg 2,1
Q3952,Late Republic (periodization),Q124048910,Straßberger Straße 2,1
Q3952,Late Republic (periodization),Q124048911,Straßberger Straße 3,1
Q3952,Late Republic (periodization),Q124048913,Straßberger Straße 5,1
Q3952,Late Republic (periodization),Q124048914,Straßberger Straße 7,1
Q3952,Late Republic (periodization),Q124048915,Straßberger Straße 9,1
Q3952,Late Republic (periodization),Q124048916,Straßberger Straße 11,1
Q3952,Late Republic (periodization),Q124048917,Straßberger Straße 11a,1
Q3952,Late Republic (periodization),Q124048918,Straßberger Straße 13,1
Q3952,Late Republic (periodization),Q124048919,Straßberger Straße 14,1
Q3952,Late Republic (periodization),Q124048920,Straßberger Straße 15,1
Q3952,Late Republic (periodization),Q124048921,Straßberger Straße 16,1
Q3952,Late Republic (periodization),Q124048922,Straßberger Straße 17,1
Q3952,Late Republic (periodization),Q124048923,Nobelstraße 2,1
Q3952,Late Republic (periodization),Q124048924,Straßberger Straße 19,1
Q3952,Late Republic (periodization),Q124048927,Untere Endestraße 4,1
Q3952,Late Republic (periodization),Q124048930,Neues Rathaus,1
Q3952,Late Republic (periodization),Q124079696,Johannes Ferdinand Schmid,1
Q3952,Late Republic (periodization),Q12408182,Q12408182,1
Q3952,Late Republic (periodization),Q124099854,Johannes Schulze,1
Q3952,Late Republic (periodization),Q124129613,Fabrik der Fäden,1
Q3952,Late Republic (periodization),Q124291250,Hammerstraße 30,1
Q3952,Late Republic (periodization),Q124365307,Lothar Otto,1
Q3952,Late Republic (periodization),Q124378118,Q124378118,1
Q3952,Late Republic (periodization),Q124467129,Matthias Klärner,1
Q3952,Late Republic (periodization),Q1245374,Dorit Gäbler,1
Q3952,Late Republic (periodization),Q1246834,Jörg Schneider,1
Q3952,Late Republic (periodization),Q124726,Bernd Jentzsch,1
Q3952,Late Republic (periodization),Q124766716,Johann Avenarius,1
