qid,label,source_class,source_class_label,has_coords,instance_of,instance_of_labels,subclass_of,subclass_of_labels,part_of,part_of_labels,property_count,ext_id_count,property_pids
Q3306208,Sea of Sicily,Q165,sea,yes,Q165,sea,,,Q4918,Mediterranean Sea,6,1,P17|P242|P2671|P31|P361|P625
Q3306215,Sea of Zanj,Q165,sea,yes,Q165,sea,,,Q1239,Indian Ocean,7,2,P17|P205|P31|P3417|P361|P625|P646
Q5353147,Eromanga Sea,Q165,sea,yes,Q165|Q2578218,sea|inland sea,,,,,6,1,P131|P17|P18|P2671|P31|P625
Q5662512,Southern Zone Sea,Q165,sea,yes,Q165,sea,,,,,4,1,P17|P2671|P31|P625
Q5762423,Inner Seas off the West Coast of Scotland,Q165,sea,yes,Q165,sea,,,,,13,4,P131|P1343|P1566|P17|P18|P205|P3006|P31|P625|P646|P6766|P7959|P910
Q7261453,Jiuzhouyang,Q165,sea,yes,Q165,sea,,,,,7,3,P131|P1566|P17|P2326|P2671|P31|P625
Q10461055,Goldthwait Sea,Q165,sea,yes,Q165,sea,,,,,6,1,P1366|P138|P2671|P31|P582|P625
Q398805,China Seas,Q165,sea,no,Q165,sea,,,,,8,3,P10283|P1343|P1889|P31|P3612|P3916|P527|P910
Q938709,Mastogloia Sea,Q165,sea,no,Q165,sea,,,,,4,1,P1365|P1366|P31|P646
Q37414,Hooker Falls,Q34038,waterfall,yes,Q34038,waterfall,,,,,14,5,P10552|P131|P1566|P17|P18|P2048|P276|P3018|P31|P3326|P373|P590|P625|P646
Q37415,Mekedaatu,Q34038,waterfall,yes,Q34038,waterfall,,,Q216239,Kaveri,10,2,P131|P17|P18|P2671|P276|P31|P3417|P361|P373|P625
Q37416,Sisters of Mary Falls,Q34038,waterfall,yes,Q34038,waterfall,,,,,6,1,P131|P17|P276|P31|P625|P646
Q37418,Kepler Cascades,Q34038,waterfall,yes,Q34038,waterfall,,,Q1418956,Firehole River,17,7,P10552|P11693|P131|P1566|P17|P1705|P18|P2581|P3018|P31|P3326|P361|P373|P4614|P590|P625|P646
Q37419,Horsetrough Falls,Q34038,waterfall,yes,Q34038,waterfall,,,,,11,5,P11693|P131|P1566|P17|P18|P276|P31|P3326|P590|P625|P646
Q37421,Franklin Falls,Q34038,waterfall,yes,Q34038,waterfall,,,Q2295983,Snoqualmie River,15,7,P10552|P11693|P131|P1566|P17|P18|P31|P3326|P361|P373|P4614|P590|P625|P646|P9383
Q37422,Hemlock Falls,Q34038,waterfall,yes,Q34038,waterfall,,,,,7,1,P131|P17|P18|P276|P31|P625|P646
Q37423,Lodh Falls,Q34038,waterfall,yes,Q34038,waterfall,,,Q4998746,Burha River,11,2,P11693|P131|P17|P18|P276|P31|P361|P373|P4614|P625|P646
Q37424,Ravana Falls,Q34038,waterfall,yes,Q34038,waterfall,,,,,8,1,P131|P17|P18|P276|P31|P373|P625|P646
Q37426,Valaste Waterfall,Q34038,waterfall,yes,Q34038,waterfall,,,,,11,4,P11693|P131|P17|P18|P276|P31|P373|P6233|P625|P646|P7772
Q37364,Sengupathi Falls,Q34038,waterfall,no,Q34038,waterfall,,,,,3,1,P17|P31|P646
Q37368,Upper Hopkins Cascade,Q34038,waterfall,no,Q34038,waterfall,,,,,5,1,P131|P17|P276|P31|P646
Q192541,Ctesiphon,Q839954,archaeological site,yes,Q15661340|Q839954,ancient city|archaeological site,,,Q1378794,Seleucia-Ctesiphon,53,29,P10565|P1082|P10832|P11729|P12385|P12800|P1296|P131|P1343|P13591|P1366|P1376|P1417|P1464|P1465|P1566|P1584|P17|P1792|P18|P1936|P2046|P206|P214|P227|P2326|P2596|P2924|P31|P3222|P361|P373|P3842|P421|P4223|P4342|P47|P571|P576|P625|P6404|P646|P6706|P7305|P793|P7982|P8068|P8349|P8406|P9000|P910|P9106|P9957
Q192784,Trajan's Column,Q839954,archaeological site,yes,Q1930585|Q839954,victory column|archaeological site,,,,,67,36,P10565|P11729|P12800|P12999|P131|P1343|P13591|P136|P138|P1417|P1476|P1584|P1612|P1669|P1699|P17|P170|P1705|P18|P186|P1889|P214|P227|P2348|P242|P244|P2561|P2581|P2596|P276|P2924|P2959|P31|P3219|P3222|P3417|P3451|P373|P402|P4212|P4342|P4380|P4839|P4969|P5019|P547|P571|P6108|P625|P6405|P646|P691|P7305|P7982|P8068|P8189|P8313|P8349|P84|P8406|P8408|P856|P88|P9000|P910|P935|P9957
