qid,qid_label,group,property_pid,property_label,statement_index,rank,value_qid,value_label,value_literal,periodo_ids
Q111657385,Bronsålder Period VI,temporal,P582,end time,0,normal,,time=-0500-00-00T00:00:00Z;precision=8,time=-0500-00-00T00:00:00Z;precision=8,vn2frdpb3
Q111657385,Bronsålder Period VI,hierarchy,P156,followed by,0,normal,Q2566630,Roman Iron Age,,vn2frdpb3
Q111657385,Bronsålder Period VI,temporal,P9350,PeriodO period ID,0,normal,,vn2frdpb3,vn2frdpb3,vn2frdpb3
Q1135852,Guangxu Era,hierarchy,P31,instance of,0,normal,Q845538,Chinese era name,,8m57hg5gw
Q1135852,Guangxu Era,geographical,P17,country,0,normal,Q8733,Qing dynasty,,8m57hg5gw
Q1135852,Guangxu Era,hierarchy,P156,followed by,0,normal,Q1135888,Xuantong,,8m57hg5gw
Q1135852,Guangxu Era,temporal,P580,start time,0,normal,,time=+1875-00-00T00:00:00Z;precision=9,time=+1875-00-00T00:00:00Z;precision=9,8m57hg5gw
Q1135852,Guangxu Era,temporal,P582,end time,0,normal,,time=+1908-00-00T00:00:00Z;precision=9,time=+1908-00-00T00:00:00Z;precision=9,8m57hg5gw
Q1135852,Guangxu Era,hierarchy,P155,follows,0,normal,Q1135837,Tongzhi Era,,8m57hg5gw
Q1135852,Guangxu Era,temporal,P9350,PeriodO period ID,0,normal,,8m57hg5gw,8m57hg5gw,8m57hg5gw
Q114867307,Achaemenid Period,hierarchy,P31,instance of,0,normal,Q11514315,historical period,,83p5r9rs7
Q114867307,Achaemenid Period,temporal,P580,start time,0,normal,,time=-0547-00-00T00:00:00Z;precision=9,time=-0547-00-00T00:00:00Z;precision=9,83p5r9rs7
Q114867307,Achaemenid Period,temporal,P582,end time,0,normal,,time=-0331-00-00T00:00:00Z;precision=9,time=-0331-00-00T00:00:00Z;precision=9,83p5r9rs7
Q114867307,Achaemenid Period,hierarchy,P155,follows,0,normal,Q114869307,Neo Babylonian Period,,83p5r9rs7
Q114867307,Achaemenid Period,hierarchy,P155,follows,1,normal,Q29297050,Neo-Elamite period,,83p5r9rs7
